Test Feature A,Test Feature B,R-Value,P-Value
TOI,Post,[0.58836631],[9.62120644e-27]
TOI,Over,[0.66313465],[7.3022651e-36]
TOI,Wide,[0.85842399],[2.18498258e-80]
TOI,S.Bkhd,[0.59125732],[4.72213658e-27]
TOI,S.Dflct,[0.34138074],[7.4945105e-09]
TOI,S.Slap,[0.79259111],[4.99749087e-60]
TOI,S.Snap,[0.62227832],[1.41905269e-30]
TOI,S.Tip,[0.44198146],[1.93334966e-14]
TOI,S.Wrst,[0.81871767],[4.19277386e-67]
TOI/GP,Wt,[0.03304336],[0.58740119]
TOI/GP,GP,[0.70353054],[5.56338189e-42]
TOI/GP,G,[0.67728536],[6.78764712e-38]
TOI/GP,A,[0.75139785],[1.00136965e-50]
TOI/GP,A1,[0.70886408],[7.23417247e-43]
TOI/GP,A2,[0.72427121],[1.52581317e-45]
TOI/GP,PTS,[0.76402822],[2.24947538e-53]
TOI/GP,PIM,[0.37652571],[1.36379706e-10]
TOI/GP,Shifts,[0.79848235],[1.5667481e-61]
TOI/GP,TOI,[0.83534179],[3.12724453e-72]
TOI/GP,TOI/GP,[1.],[nan]
TOI/GP,iBLK,[0.73412398],[2.37045591e-47]
TOI/GP,OTG,[0.35104106],[2.61507242e-09]
TOI/GP,GWG,[0.5389424],[6.61955692e-22]
TOI/GP,G.Dflct,[0.21940841],[0.00026571]
TOI/GP,G.Slap,[0.52838483],[5.67526288e-21]
TOI/GP,G.Snap,[0.40438706],[3.96949163e-12]
TOI/GP,G.Tip,[0.26629654],[8.48312148e-06]
TOI/GP,G.Wrst,[0.57326521],[3.53605666e-25]
TOI/GP,Post,[0.54258757],[3.09705144e-22]
TOI/GP,Over,[0.59129303],[4.68059892e-27]
TOI/GP,Wide,[0.75055098],[1.48752124e-50]
TOI/GP,S.Bkhd,[0.54120097],[4.13910554e-22]
TOI/GP,S.Dflct,[0.3770361],[1.28201848e-10]
TOI/GP,S.Slap,[0.72010843],[8.39883321e-45]
TOI/GP,S.Snap,[0.51663685],[5.68443019e-20]
TOI/GP,S.Tip,[0.38285585],[6.28568379e-11]
TOI/GP,S.Wrst,[0.71960125],[1.03168188e-44]
iBLK,Wt,[0.09949554],[0.10153619]
iBLK,GP,[0.87808484],[1.4392156e-88]
iBLK,G,[0.57483302],[2.45336553e-25]
iBLK,A,[0.65902734],[2.70764601e-35]
iBLK,A1,[0.61286491],[1.82850627e-29]
iBLK,A2,[0.64398645],[2.76995266e-33]
iBLK,PTS,[0.66484188],[4.20952452e-36]
iBLK,PIM,[0.49858289],[1.65559453e-18]
iBLK,Shifts,[0.90318891],[2.33948192e-101]
iBLK,TOI,[0.89638481],[1.43212248e-97]
iBLK,TOI/GP,[0.73412398],[2.37045591e-47]
iBLK,iBLK,[1.],[nan]
iBLK,OTG,[0.26619758],[8.55124844e-06]
iBLK,GWG,[0.51136939],[1.55212155e-19]
iBLK,G.Dflct,[0.25402849],[2.23242777e-05]
iBLK,G.Slap,[0.43014077],[1.11135314e-13]
