Test Feature A,Test Feature B,R-Value,P-Value
Shifts,S.Tip,[0.71899632],[1.85901943e-37]
Shifts,S.Wrap,[0.48078928],[1.53757205e-14]
Shifts,S.Wrst,[0.86837775],[1.28544623e-70]
TOI,Ht,[0.24489684],[0.00019412]
TOI,Wt,[0.19620664],[0.00298884]
TOI,GP,[0.94248515],[2.41449098e-109]
TOI,G,[0.83681564],[6.69311138e-61]
TOI,A,[0.86610277],[7.77161429e-70]
TOI,A1,[0.83943545],[1.26160787e-61]
TOI,A2,[0.81062804],[2.68655933e-54]
TOI,PTS,[0.89393316],[1.51130842e-80]
TOI,+/-,[0.04987837],[0.4545711]
TOI,Shifts,[0.99197864],[8.73443944e-205]
TOI,TOI,[1.],[nan]
TOI,TOIX,[0.99995434],[0.]
TOI,TOI/GP,[0.87335942],[2.21656598e-72]
TOI,TOI%,[0.8540033],[6.58226991e-66]
TOI,iBLK,[0.7672734],[2.31981183e-45]
TOI,iFOW,[0.80984826],[4.0724696e-54]
TOI,iFOL,[0.83296429],[7.37877528e-60]
TOI,FO%,[0.34842473],[6.99898217e-08]
TOI,OTG,[0.40194984],[3.15380992e-10]
TOI,GWG,[0.66711825],[1.2476453e-30]
TOI,G.Bkhd,[0.535245],[3.07997178e-18]
TOI,G.Snap,[0.60672678],[3.09536135e-24]
TOI,G.Tip,[0.54035253],[1.27766322e-18]
TOI,G.Wrap,[0.22489925],[0.00064067]
TOI,G.Wrst,[0.78929926],[1.22825317e-49]
TOI,Post,[0.65714884],[1.79249485e-29]
TOI,Over,[0.70834836],[6.20371484e-36]
TOI,Wide,[0.87031781],[2.69788901e-71]
TOI,S.Bkhd,[0.82445237],[1.2024926e-57]
TOI,S.Dflct,[0.50100679],[7.76638781e-16]
TOI,S.Slap,[0.58004095],[7.99670202e-22]
TOI,S.Tip,[0.72884824],[6.24550635e-39]
TOI,S.Wrap,[0.47546993],[3.26592841e-14]
TOI,S.Wrst,[0.8896272],[1.04947478e-78]
TOIX,Ht,[0.2446483],[0.00019715]
TOIX,Wt,[0.19697998],[0.00287477]
TOIX,GP,[0.94287596],[1.1430863e-109]
TOIX,G,[0.83661391],[7.60150382e-61]
TOIX,A,[0.86578837],[9.93977421e-70]
TOIX,A1,[0.83924657],[1.42432099e-61]
TOIX,A2,[0.81018178],[3.4094923e-54]
TOIX,PTS,[0.89364986],[2.00881936e-80]
TOIX,+/-,[0.05149255],[0.44008549]
TOIX,Shifts,[0.99205926],[2.80200471e-205]
TOIX,TOI,[0.99995434],[0.]
TOIX,TOIX,[1.],[0.]
TOIX,TOI/GP,[0.87276097],[3.64277467e-72]
TOIX,TOI%,[0.85336972],[1.03323074e-65]
TOIX,iBLK,[0.76789403],[1.78441456e-45]
TOIX,iFOW,[0.81011379],[3.53536652e-54]
TOIX,iFOL,[0.83320431],[6.36512147e-60]
TOIX,FO%,[0.34853793],[6.92647953e-08]
TOIX,OTG,[0.40195423],[3.15228323e-10]
TOIX,GWG,[0.66764853],[1.07963003e-30]
TOIX,G.Bkhd,[0.53575781],[2.82144819e-18]
TOIX,G.Snap,[0.60521278],[4.30202965e-24]
TOIX,G.Tip,[0.54125529],[1.09193566e-18]
